你開一個慶祝會的時候我不能會參加	OORROOOOOOOOOROO
我穿了學校的衣服會跟別人一樣	OOOOOOOOMOOOOO
	
不是很大的問題	MOOOOOO
衣服還穿得到	OOOSSS
可是你可能會需要多一點時間認出我	OOOOOOOOOOOOOOOO
	
再加上我明天要去剪頭髮	OOOOOOOOOOO
現在的頭髮是非常長（昨天開車的時候	OOOOOROOOOOOOOOOO
我發現有時候我的頭髮不讓我看很多東西）所以我明天要穿很花的衣服	OOOOOOOOOOROOSOOOOOOOOOOOOOOOOO
	
這是我們第一次要見面的	OOOOOOOROOR
我好興奮終於可以看到你	OOOOOOOOOOO
我們寫信寫快兩個月了	OOOOOMOOOO
現在才有機會見個面	OOOOOOOOO
我真的太開心	OOOOOO
晚上都沒辦法睡覺	OOOOOOOO
	
因為你要來到台北	OOOOOROO
也是你第一次來到這個城市	OOOOOOOOOOOO
我們見面那天的計畫我都已經安排好了	OOOOOOOOOOOOOOOOO
	
我先跟你說我那天要穿的衣服	OOOOOOOOOOOOO
所以找到我會比較容易	SSOOOOOOOO
	
你來的時候	OOOOO
我們第一件事情就是吃中飯	OOOOOOOOOOOO
你想吃什麼我們就吃什麼	OOOOOOOOOOO
所以你要想喔	OOOOSO
這裡什麼式的食物都有：中國式、美國式、韓國式等等	OOOOSOOOOOOOOOOOOOOOOOOO
真的五花八門	OOMOOO
	
晚上的時候我們要去士林夜市吃晚飯和逛街	OOOOOOOOOOOOOOOOOOO
那裏最有名的是雞排	OOOOOOOOO
常常都排得好長	OOOMOOO
	
嗨	O
又是李文平	OOMOO
我很高興我終於要見到你了	OOOOOOOOOOOO
我真的等不及	OOOOOO
我覺得我們應該決定一個地方我們可以一起見面	OOOOOOOOOOOSSSSSSSSSS
你是來美國	OOROO
所以我來決定吧	OOOOOOO
	
你找到我以後	OOOOOO
我是打算帶你去我們這裡的動物園	OROOOOOOOOOOOOO
因為我有在那邊工作過	OOOROOOOOO
我可以帶你到後面	OOOOOOOO
看看動物員都在後面幹什麼	OOOOOOOOOOOO
也可以摸摸一些動物像長頸鹿	OOOOOOOOOOOOO
	
我們在動物園應該是玩一整天吧	OOWWWWWWWOOOOO
所以在那裏玩完了以後	OOOOOOOOOO
我想帶你去一個很有名的餐廳	OOOOOOOOOOOOO
	
我真的很高興你要來了	OOOOOOOOOO
我知道我們一定會變成好朋友	OSSOOOOOOOOOO
	
我記得你說你是在台北出生的	OOOOOMOOOOOOO
但從你三歲去美國以後	OOOOOOOOOO
就沒有機會來台灣	OOOOOOOO
	
因為我們都算是年輕人	OOOOOOOOOO
兩個都剛剛在六月畢業大學的	OOOOOOOOWWWWO
所以我安排的事情是去台灣年輕人喜歡的地方	OOOOOOOOOOOOOOOOOOOO
如果你願意	OOOOO
我那天見面的計畫是早上到晚安的	OOOOOOOOOOOOSSO
	
早上我們去我住的附近的特別台灣早餐	OOOOOMOOOOOOOOOOO
包括蛋白	OOSS
油條	OO
和豆漿	OOO
後來我想帶你去ＳＯＧＯ忠孝復興買很多名牌的東西	SSOOOOOOOOOOOOOMOOOOOOO
我知道你很喜歡買衣服和鞋	OOOOOOOOOOOS
我覺得我們會再買東西很久很久啊	OOOOOOOOSSSSSSO
	
我最後的安排是帶你去士林夜市吃街邊的小食	OOOOOOOOOOOOOOOOOOSS
臭豆腐	OOO
豬血糕	OOO
珍珠奶茶都很好吃的	OOOOOOOOO
我覺得你跟我去玩	OOOOOOOO
會一定很刺激	WWWOOO
	
我就安排九點鐘在八月十五日見面	ORSSWWWWWWWWWOO
我會在古亭捷運站八號出口等你來	OOOOOOOOOOOOOOO
我會穿一個很花的衣服	OOOOSOOOOO
包括粉紅色的裙子和黃色保齡鞋	OOOOOOOOOOOOOO
	
我們做筆友做了五年	OOOOOOOOO
後天終於會見面	OOOOSOO
我這幾天一方面高興	OOOOOOOOO
一方面緊張得睡不著	OOOOOOOOO
希望你的感覺跟我的一樣	OOOOOOOOOOO
	
我會先帶你去「中正紀念堂」	OOOOOOOOOOOOO
台北有名的旅遊景點其中一個	OOOOOOOOOOOMO
趁著早上不太熱	OOOOOOO
散步一下	MOOO
欣賞那裡的公園	OOOOOOO
	
「新光三越」後面的日式飯館	OOOOOOOOMOOOO
我們可以在那裡吃晚飯	OOOOOOOOOO
才繼續逛街	SOOOO
如果你已經沒有興趣	OOORROOOO
我們也可以去「西門町」看電影	OOOOOOOOOOOOOO
打撞球	OOO
或去一個茶店談天說笑	OOOSOOOOOO
	
因為你以前說過	OOOOOOO
你想試一下台北的臭豆腐	OOOOOOOOOOO
於是	SS
最後我會帶你去士林夜市吃消夜	OOOOOOOOOOOOOO
我保證士林夜市的臭豆腐天下無雙	OOOOOOOOOOOOOOO
吃飽了	OOO
我們會離開	OOMOO
自己回家	OOOO
	
後天上午九點	OOOOOO
在古亭捷運站的第五出口	OOOOOOOOOOO
為了你可以容易認出我	OOMOOOOOOO
我會穿一件紅襯衫	OOOOOOOO
一條黑褲子	OOOOO
希望你衣服的顏色也像這樣	OOOOOOOOOOOO
千萬別忘了	OOOOO
	
我現在打算我們這個禮拜六早上十點鐘在台北市政府的捷運站三號出口見面	OOOSSOOOOOOOOOOOOOOOOOOOOOOOOOOOO
	
吃完中飯以後	OOOOOO
我們可以繼續在百貨公司逛	OOOOOOOOOOOO
或我們也可以走到１０１大樓那附近走走	SOOOOOSSOOOOOOOOOO
	
當我們見面那天	OOOOOOO
我會穿個藍色的衣服	OOOSOOOOO
也帶一個綠色的包包	ROOOOOOOO
	
如果你還是認不出來或是找不到我	OOOOOOOOMOOOOOO
你也可以打通電話給我	OOOOOOOOOO
	
我們當筆友已經好幾個月	OOOOOOOOOOO
倒是從來沒見面	SSOOOOO
我們上次已經說	OOOOOOS
你這個禮拜三有空來台北跟我見面	OOOOOOOOOOOOOOO
	
你覺得你最好坐火車來台北車站	SOOOOOOOOOOOOO
我因找到適合的班車資料而檢查網路	OSOOOOOOOOOOSSSS
我認為你最好搭來台北火車站八點的火車（六點半離開你的城市）	OOOOOOOWWWWWWWWWWWOOOOOOOOOOO
	
如果你那天會發生一些問題	OOOOOSSSSSSS
就馬上跟我聯絡	OOOOOOO
我的手機號碼是０９１２３４５６７８	OOOOOOOOOOOOOOOOO
	
我打算帶你去參觀歷史博物館	OOOOOOOOOOOOO
因為我覺得那是很可去的地方	OOOOOOOOSOOOO
	
晚上	OO
你不累的話	OOOOO
我們天黑以前去台北１０１最高的層樓看風景	OOOOOOOOOOOOOOOSSOOO
	
你還想看甚麼地方或是買甚麼東西？你覺得這個打算怎麼樣？你喜不喜歡？如果你想看甚麼地方或東西	OOOOOOOOOOOOOOOOOOOOOSSOOOOOOOOOOOOOOOOOOOOOO
就隨時告訴我	OOOOOO
我真很高興你要來啊	OOROOOOOS
	
我們終於可以見面了	OOOOOOOOO
我們到現在都是以寫信為連絡	OOOOOOOOOOOOO
所以我這次跟你見面很緊張	OOOOOOOOOOOO
應該你也是吧	WWWOOO
	
我這個週末有事情	OOOOOOOO
所以我要下個禮拜日見面好不好？	OOSROOOOOOOOOOO
時間是下午五點在台北車站	OOOOOOOOOOOO
我們先逛一逛台北車站的地下鐵	OOOOOOOOOOOSSS
我陪你買東西	OOOOOO
順便我也想買衣服還有鞋子	WWWWOOOOOOOO
所以你也要陪我喔	OOOOOOOO
	
我們還沒看過我們的照片	OOOOOOSSOOO
所以我想一想我們見面的時候	OOOMOOOOOOOOO
要穿哪一件	OOOOO
還是要拿什麼東西讓你知道我是誰	OOOOOOOOOOOOOOO
	
我穿綠色的衣服跟牛仔褲	OMOOOOOOOOO
我聽說下個禮拜日會下雨	OOOOOOOOOOO
所以我要拿白色的雨傘	OOOSOOOOOO
然後我在台北車站三號出口前面等你喔	OOOOOOOOOOOOOOOOO
	
但是我們到底約好了	OOOOOOOOO
我希望見面的心情會很高興	OOOSSSSSSSSS
對我來說	OOOO
發生這樣的事情是在我的人生中第一次	OOOOOOOWWWWWWWOOO
我覺得這件事情也是一種命運	OOOOOOOOOOOOO
	
所以我宜維持跟你	OOOOOOOO
以免破壞我們的關係	OOOOOOOOO
我們應該彼此努力	OOOOOOOO
	
我們喜歡睡覺	OOOOOO
起床後在家休息	OOOMOOO
這個星期六到晚上六點在美麗華門口見面	OOOOOROOOOOOOOOOOO
	
我們從來沒見面	OOOOOOO
見面的時候可能會搞不清楚誰是你	OOOOOOOOOOOOOOO
誰是我	OOO
所以我們首先決定什麼方法來認出自己	OOOOOOOOMOOOOOOOO
我覺得以穿特別的衣服	OOOOOOOOOO
拿特別的東西來認出自己的方式是最好的方法	OOOOOOOOOOOOOOOOOOOO
	
那天我穿紅色的衣服拿著雨傘	OOOOOOOOOOOOO
你穿黃色的衣服拿著一杯咖啡	OOOOOOOOOOOOO
這樣的話	OOOO
我們一看就容易認識	OOOSMOOSS
	
聽起來感覺上很有意思	OOOOOOOOOO
我們通過這種機會	OOSSOOOO
可能認識對方	SSOOOO
到約天	OSS
見吧	OO
別遲到	OOO
	
你好	OO
這是你的朋友	SOOOOO
李文平	OOO
我等不及跟你見面	OOOOMOOO
	
我每天上班時都在想下個週末	OOOOOOOOOOOOO
說到下個週末	OOOOOO
我就給你說我安排了什麼活動	OOSOOOOOOOOOO
	
然後我們搭計程車去國父紀念館去參觀交響音樂會	OOOOOOOOOOOOOOROOOOOOO
音樂會大約為九點半結束	OOOOOOOOOOO
	
我很高興我們終於這個週末能見面了	OOOOOOWWWWWWOOOO
我這個星期六比較有空	OOOOOOOOOO
你可不可以那天五點在台北車站五號出口等我嗎？	OOOOOOOOOOOOOOOOOOOORO
由於五點快要是晚餐的時間	OOOOOOOOOOOO
因此我會先訂位在台北車站附近最時尚的日本料理餐廳	OOOOOWWWWWWWWWWWWWWWWWWW
你不會反對吧？	OOOOOOO
但是我先跟你說	OOOOOOO
我們應該看快感的電影	OOOOOSSOOO
要不然我就可能睡著了	OOOOWWWOOO
	
電影完了以後就可能快十點了	OOSOOOWWWOOOO
我想我們可以去夜市吃一點小吃和玩夜市裡的小遊戲	OOOOOOOOOOOOOOOOOOOOOOO
對我來說	OOOO
玩了一個小時就夠了	OROOOOOOO
雖然夜市的氣氛很好玩	OOOOOOOOOO
我容易受不了太熱鬧的地方	MRROOOOOOOOO
	
我非常期待我們終於要見面	OOOOOOOOOOOO
我還記得我們兩年前開始寫信交流	OOOOOOOOOOOOOOO
雖然沒有見面過	OOOOOOO
但是我已經把你當成一個要好的朋友	OOOOOOOOOOOOOOOO
	
我們約在西雅圖的飛機場	OOOOOOOOOOO
我會在外面的星巴克停車場等你	OOOOOOOOOOOOOO
車子是黑色的福特	OOOOOOOO
窗戶會寫：「歡迎王宜家來到西雅圖	OOMOOOOOOOOOOOOO
」	O
	
吃完午飯後就帶你到西雅圖的魚市去走一走	OOOOOOOOOOOOOOOOOOO
逛逛街	OOO
逛完就帶你回家吃飯	OOOOOOOOO
我媽媽會煮她拿手的菜給你吃	OOOOOOOOOOOOO
然後我就聊聊天吧	OOSOOOOO
	
我很高興啊	OOOOO
終於我們要見面	OOOOOOO
認識對方	OOOO
	
對我來說	OOOO
週末最合適的時間見面	OOMOOOOORR
又不需要上學也不需要上班	OOOOOOOOOOOO
我們就可以快快樂樂	OOOOOOOOO
很輕鬆地玩	OOOOO
不會有時間的壓力	OOOOOOOO
	
我穿的衣服	OOOOO
我會全部穿紅色的	OOOOOOOO
你呢	OO
你就可以從頭到腳全部穿黃色的衣服	OROOOOOOOOOOOOOO
如果用這個方法還看不出來人	OOOOOOOOSSSWW
只好就用手機打給對方	WWWOOOOOOO
	
這樣就可以新朋友過一個很快樂的一天	OOOOOMOOOOOOOOOOO
請您給我回答	OOOOSS
謝謝	OO
	
我們認識了這麼久終於可以面對面聊天	OOOOOOOOOOOOOOOOO
真的是有點不習慣	OOOOOOOO
	
通常跟新朋友或是不熟的朋友出去都不會這樣子	OOOOOOOOOOOOOOOOOOOOO
可是一想到要跟你見面我就緊張起來了	OOOOOOOOOOOOOOOOO
我看是因為我們的交往還是有一點新鮮的感覺	OSOOOOOOOOOOOOOOOOOO
	
在那裡我可以在四號出口等你	OOOOOOOOOOOOO
穿一套黃色的運動衣服	MOOOOOOOOO
保證你一定馬上就看到我了	OOOOOOOOOOOO
	
我們可以在下個禮拜二六點鐘在台電大樓捷運站的第三出口見面	OOOOOOOOOOOOOOOOOOOOOOOOOOOO
在那裡見面很方便	OOOOOOOO
因為離許多餐廳很近	OOOOOOOMO
而且近師大夜市	OOOOOOO
	
這八個月以來	OOOOOO
我開始真的很喜歡你	OOOOOOOOO
感覺像我們之間的距離越來越小	OOROOOOOOOOOOO
	
如果一個禮拜沒有收到你的信	OOOOOOOOOOOOO
就立刻會開始不舒服	OOOORROOO
很想念你	OOOO
	
我之前寄了我的照片給你看	OOOOOOOOOOOO
不過那張照片不一定讓你認出我	OOOOOOOOOMOOOO
所以我想出了一個讓你比較容易認出我的方法	OOOOOOOOOOOOOOOOOOOO
	
聽說那家餐廳做的菜都很好吃	OOOOOOOOOOOOO
尤其是用肉的菜非常好吃	OOOOOMOOOOO
一邊吃飯	OOOO
一邊看夜景	OOOOO
氣氛會一定好的	OOWWWOO
你可以期待	OOOOO
	
還有在動物園應該走很久的時間	OOOOOOOOMOOOOO
所以運動鞋子才好	OOMSSSOO
	
我很期待跟你一起出玩	OOOOOOOOOO
期待得我不睡覺	SSSSSSS
當然我會一定開心	OOOWWWOO
	
我很期待下次我們的約會	OOOOWWWWOOO
我們下個禮拜天見面	OOOOOOOOO
對不對？	OOOO
可不可以在我家附近見面？因為我最近剛剛搬家	OOOOOOOOOOOOOOOOOOOOO
你家附近還不熟	MOOOOOO
	
你從小時候住在台北	OOORRMOOO
所以你應該知道我住的地方的附近	OOOOOOOOOOOOOOO
	
我家是中山站附近	OOOMOOOO
你知道在中山站那邊有一家百貨公司	OOOOOOOOOOOOOOOO
叫「新光三越」	OOOOOOO
我們在新光三越的入口見面	OOOOOOOOOOOO
好不好？	OOOO
那一天我打算穿紅色的Ｔ恤和黑色的褲子	OOOOOOOOOOOOOOOOOO
我的頭髮現在短短的	OOOOOOOOO
我的身高比較高	OOOOOOO
然後戴眼鏡	OOOOO
所以你應該容易看得出來	OOOOOOOSOOO
	
我媽媽希望你請飯	OOOOOWWS
因為你總是幫我的忙	OOOOOOOOO
比方說前幾天你幫我的日文的功課	OOOOOOSSSSSSSSS
媽媽也很喜歡日文	OOOOOOOO
所以她也要請教你日文	OOOOSOOOOO
	
如果你的時間不適合的話	OOOOOOOOOOO
還是有什麼問題的話	SSOOOOOOO
請你打電話給我	OOOOOOO
	
對我來說	OOOO
下個星期六晚上六點在西門捷運站六出口見面比較好	OOOOOOOOOOOOOOOOMOOOOOO
我知道這個６６６（星期六	OOOOOOOOOOOO
六點	OO
六出口）很奇怪	OMOOOOO
可是我倒是覺得這個樣子讓我們的見面比較有意思	OOOOOOOOOOOOOOOOOOOOOO
	
如果我們吃飯以後你還有力氣	OOOOOOOOOOOOO
我們就可以去ＫＴＶ一會兒唱歌兒	OOOOOOOOOOOOOOO
一會兒跳舞	OOOOO
一會兒喝酒	OOOOO
玩得很高興啊	SSSSSS
	
對了	OO
你還不知道怎麼可以認出我	OOOOOOORROOO
所以我現在告訴你	OOOOOOOO
那天我想穿紅色的Ｔ－ＳＨＩＲＴ和白色的褲子	OOOOOOOOOOOOOOOOOOOOO
再說	SS
在我手上我會拿一本小書	OOOOOOOOOOO
	
請你查一查	OOSSS
下面的內容對不對	OOOOOOOO
不對的話	OOOO
請你趕快告訴我了	OOOOOOOR
	
時間：８月７日（週五）	OOOOOOOOOOO
晚上７點	OOOO
地點：士林捷運站	OOOOOOOO
２出口	OMO
	
我有一個禿頭	OOOOOO
也總是戴眼鏡	OOOOOO
所以應該很容易注意吧	OOOOOOOSSO
在那一天	OOOO
我打算穿黑短褲和白襯衫	OOOOOOOOOOO
你一定找得到	OOOOOO
	
因為我們都是愛吃鬼	OOOOOOOOO
所以我想推薦你一些我最喜歡的小吃	OOOOOOOOOOOOOOOO
希望我們能互相推薦哪一些小吃值得吃	OOOOOOOOOOOOOOOOO
這樣才會把我的常識變廣了	OOOOOOOOOOOR
	
那麼	OO
到我們見面那一天	OOOOOMOO
拜拜	OO
	
我希望早一點跟你見面	OOOMOOOOOO
我從決定我們下個月去日本	OOOOOOOOOOOO
每天晚上都躺著床上一、兩個小時睡不著	OOOOOSROOOOOOOOOOO
	
欸	O
王宜家	OOO
你週末幹嘛？要是週末有空的話	OOOOOOOOOOOOOO
我打給我	SOOO
好不好	OOO
？把我的電話號碼留一下	OOOOOOOOOOO
	
我自己決定我們甚麼時候見面	OOOOOOOOOOOOO
還有哪裡玩	OOMOO
要是同意我們的安排	OOOOSSOOO
打電話給我	OOOOO
我就參考你的意見	OSOOOOOO
再考慮一下	OOOOO
	
關於跟你見的事	OOOOSOO
下星期六你有空嗎？因為我找到一家好吃的餐廳	OOOOOOOOOOOOOOOOOOOOO
所以我希望跟你一起去吃飯	OOOOOOOOOOOO
	
對了	OO
我們終於找得到見面的機會	OOOOSSSOOOOO
我們的關係是不可思議	OOOOOROOOO
	
我們從十歲開始就寫信	OOOOOWWWOO
現在用電腦寫信比較方便	OOOOOOOOOOO
但是你一直說「我不要用電腦寫信」	OOOOOOOOOOOOOOOO
我們的關係已經過十五年了	OOOOOOOROOOO
而且我們已經各有各結婚過了	OOOOOOOOOSSRO
	
那一天	SOO
我想跟老婆一起去	OOOOOOOO
所以你也跟太太一起來吧	OOOOOOOOOOO
	
這個時候	SOOO
我穿淡藍色的襯衫和牛仔褲	OMOOOOOOOOOO
老婆的話	OOOO
穿淡黃色的襯衫和白色的長裙子	OOOOOOOOOOOOOO
	
應該你容易找得到我們	WWWOOSSSOO
如果找不到或者發生有事的話	OOOOOOOOOSSOO
打電話給我	OOOOO
	
我期待跟你見	OOOOOS
祝你一切順利	OOOOOO
	
台北的天氣一直很熱	OOOOOOOOO
雖然有風吹來	OOOOOO
不過還是濕濕熱熱得讓人很不舒服	OOOOOOOOOOOOOOO
不知道你那邊新竹的天氣跟台北差不多	OOOOWWWWOOOMOOOOO
但是我看	OOOS
一定沒差那麼多	OOOOOOO
	
我真期待跟你見面	OOOOOOOO
因為雖然我們用寫信來往已經幾個月了	OOOOOOSOOOOOOOOOO
可是還是的確不知道對方的臉	OOOORROOOOOOS
真可惜	OOO
	
我們這次終於會見面的吧	OOOOOOSOOSO
但是你確定這週末要來台北嗎？我想首先把計畫安排比較好	OOOOOOMOOOOOOOOOSSOSSOOMOO
所以我現在想要說一說我的計畫	OOOOOOOOOOOOOO
然後如果你有不滿意的部分	RROOOOOOOOOO
再商量一下吧	OOOOOO
	
我們這星期六中午十二點	OOOOOOOOOOO
在台北車站對面的新光三越百貨公司門口要見面	OOOOOOOOOOOOOOOOOOROO
你既然來台北已經不只十次	OOOOOOOOOOOO
這裡的地方就應該很熟吧	OORRRROOOOO
	
我們見面以後先去吃飯	OOOOOOOOOO
再逛街可以了吧	OOOOORO
最近我發現在台北車站附近有一家好吃的排骨飯店	OOOOOOOOOOOOOOOOOOOOOO
然後去喝飲料吧	OOMOOOO
	
我想像那天要做甚麼	OOOOOOOOO
現在就興奮起了	OOOOOSO
我想要快到週末了	OOROOOOO
那	O
你再給我連絡喔	OOSOOOO
	
明天我們總算見面	OOOOOOMO
我真的期待跟你一起見面	OOOOOOORROO
	
我一邊很高興	OSSROO
一邊很緊張	SSROO
把我緊張得睡不著	SOOOOOOO
特別今晚的月亮很亮	OOMOOOOOO
好像那個月亮代表我的高興的心情	MOOOOOOOOOOOOOO
	
我想起來我剛開始寫給你信的時候	OOOOOOOOWWWOOOO
當時我不知道怎麼寫	OOOOOOOOO
可是你先給我非常感動的內容的一張信	OOOOSMOOOORRROOSO
你先介紹自己	OOOOOO
寫了你的心情	SROOOO
你的將來的希望甚麼的	OROOOOOOOO
	
我從來沒有寫過信	OOOOOOOO
所以我很難過怎麼寫才可以讓你感動	OOOOOOMOOOOOOOOO
其實當時我的負擔很大	OOOOOOSSOO
可是你先對我很親密	OOOOOOOSS
我很輕鬆了	OSSSS
	
最近	OO
我一直煩惱我們在哪裡見面	OOOOOOOMOOOO
因為我想跟你見面很特別的地方	OOOOOOMWWWWWWW
	
那邊不太熱鬧	OOOOOO
有一家很安安靜靜的咖啡店	OOOOSSSSOOOO
還有那家咖啡店附近有一場很舒服的公園	OOOOOOOOOOOSOOOOOO
	
還有我們現在不知道互相什麼樣子	OOOOOOOOOSSOOOO
所以我明天穿紅色的褲子	OOOOOOOOOOO
為了你容易認出我	OOMOOOOO
還有我要拿去綠色的包包	RROOSSOOOOO
這樣你可以很容易認出我吧	OOOOOOOOOOOM
	
喔	O
太晚了	OOO
我得睡覺好	OOOOS
明天好好的精神見面跟你	OOMSOOOWWWW
	
雖然我們從來沒見面過	OOOOOOOOWW
可是我感覺我們是很熟的好朋友	OOOOOOOOOOOOOO
每次你的信讓我開心	OOOOOMOOO
所以這次我們會見面	OOOOOOSOO
很高興	MOO
	
由於以前你告訴我	OOOOOOOO
你喜歡的運動是游泳	OOOOOOOOO
散步	OO
喜歡吃日本菜	OOOOOO
因而那天我們先到公園去	SSOOOOOOOOO
然後去吃日本燒肉	OOOOOOOO
吃完之後在周圍散散步	OOOOOOOOOO
	
那公園是在台北北部最近新開的	OOOOOOOOOOOOSO
公園裡有好大的泳池跟按摩室	OOOOOOOOOOOOO
那邊附近有一家超好吃的燒肉店	RROOOOOOOOOOOO
	
為了你馬上找到我	OOMOOOOO
而我先告訴你	SOOOOO
當天的我的樣子	OOROOOO
我一定會穿紅色的上衣	OOOOOOOOOO
黑色的長褲	OOOOO
還有戴綠色的帽子跟金色的眼鏡	OOOOOOOOOOOOOO
拿著一本書站在那裡	OOOOOOOOO
別忘喔	OOM
我的樣子	MOOO
	
因為你沒提過要在哪裡見面	OOOOOOOOOOOO
就由我來決定	MOOOOO
	
我知道你那麼好奇聽到那天的計劃	OOOOSSOOMOOOOOO
但是對不起我沒有時間準備什麼精彩的計畫	OOOOOOOOOOOOOOOOOOO
而且對我來說	OOOOOO
重要的是看你的	OOOOSOR
其他的我都不管	OOOOOOO
	
我們先可以搭捷運到淡水	OOWWWOOOOOO
那裡可以一起吃好吃的海鮮	MOOOOOOOOOOO
實在說	SSS
我一想到淡水的海鮮	OOOOOOOOO
就流口水	OOOO
	
然後我們可以在那裡附近逛街	OOOOOOOSSOOOO
我們覺得累的時候	OOOOOOOO
就可以在一家咖啡店坐一下	OOOOOOOOOOOO
欣賞淡水美麗的風景	OOOOOOOOO
	
哇	O
我已經很興奮	OOOOOO
等不及我們的見面	OOOOOOOO
下禮拜一見	OOOOO
	
宜家我們已經交筆友了十年多了	OOOOOOSOOROOOO
我很想到跟你見面	OOSSOOOO
除了跟你見面	OOOOOO
我也很想在美國出去	OOOOSOORR
	
因為這是我們第一次見面	OOOOOOOOOOO
所以我們應該好好地準備	OOOOOOOOOOO
我真的恨不得能快點跟你見面	OOOSSSOOOOOOO
	
因為下個月我們學校都放兩個月的暑假	OOOOOOOOOROOOOOOO
我覺得那時候是最好的時間我們可以見面	OOOOOOOSSSSSSSSSSS
你覺得呢？	OOOOO
因為我應該訂機票	OOOSSOOO
還有準備別的事	OOOOOOO
因為暑假的時候真不容易買得到機票	OOOOOOOOOOOSSSOO
所以越快越好	OOOOOO
	
宜家麻煩你安排一下我們在美國的時候要去哪裡	OOOOOOOOOOOOOOOOOOOOO
你應該帶我到可去的地方去嘍	OOOOOOOOOOORO
我聽說那邊的迪士尼樂園不錯	OOOOOOOOOOOOO
我們一定得去好不好？	OOOOSOOOOO
你有沒有看電視	OOOOOOO
如果有人在機場接人	OOOOOOOOO
他們把名字寫在一個牌子	OOMOOOOOOOO
你也會用那樣的辦法	OOSOOOOOO
	
我的話	MOO
以後會告訴你我穿怎麼樣的衣服	OOOOOOOOSSOOOO
所以	SS
你也比較容易認識我	OOOOOOSSO
可能我會穿很有花的衣服	OOOOOOROOOO
然後我會戴很大的帽子	OOOOOOOOOO
你一定很容易認識我	OOOMOOSSO
	
好啦	OO
我現在得上課了	OOOOOOO
請你趕回信給我	OOSOOOO
	
我們先要去逛一逛台北車站附近	OOWWOOOOOOOOOO
然後要去西門町看電影吧	OOOOOOOOOOR
看電影以後應該我們會餓	OOOOOWWWWOO
所以去士林夜市一邊逛一邊吃	OOOOOOOOOOOOO
還有那裡賣很多便宜的衣服	OOOOOOOOOOOO
如果你要的話也可以買衣服或其他的東西	OOOOOOOOOOOOOOOOOO
	
所以我覺得我們在台北車站八號出口下個禮拜天兩點鐘見面最方便	OOOOOOOWWWWWWWWWWWWWWWWWOOOOO
我要用手機寄給你我的照片	OOOOOOOOOOOO
還有當天我要穿粉紅色的上衣	OOOOOOOOOOOOO
穿牛仔褲	OOOO
你一看就知道就是我	OOOOOOROO
	
我們開始互相寫信已經一年了	OOOOOOOOOOOOO
我寫信的時候	OOOOOO
不知道為甚麼	OOOOOO
可是能我的真心話寫下來	RROMOOOOOOO
而且你一直懂我的心情	OOOOOOOOOO
真的感謝你	OOOOO
下個禮拜天我們終於直接見面	OOOOOOOOOMOOO
我非常期待	OOOOO
	
最近過得這麼樣？有沒有每天過得很開心啊？	OOOOSSSOOOOOOOOOOOOO
上課的時候讓我很累	OOOOOROOO
但我想見到你就會好了吧	OOOOOOOOOOO
	
我們沒有見過面	OOOOOOO
所以怕你認不出來我	OOOOOOOWW
當天我會拿紅色的小袋子跟紅色的帽子去	OOOOOOOOOOOOOOOOOO
應該我看起來很好笑吧	WWWOOOOOOO
	
我真的很等不及見到你	OOOROOOOOO
	
我們那一段時間很想見面	OOOOOOOOOOO
終於會見面	MOSOO
我不但很開心得不得了	OOOROOOOOO
還有期待得每天晚上睡不著	OOOOOOOOOOOO
	
今天禮拜四	OOOOO
所以我們這個禮拜六下午兩點見面吧	OOOOOOOOOOOOOOOO
是因為我想趕快跟你見面	ROOOOOOOOOO
還有見面的地方是捷運台北車站淡水線淡水方向月台最前	OOOOOOOOOOOOOOOOOOOOOOORO
好不好？	OOOO
因為我家是古亭捷運站附近	OOOOSOOOOOOO
你家是市政府附近	OOSOOOOO
再加上我們打算去淡水	OOOOOOOOOO
所以淡水線換坐的站見面比較方便吧	OOMOOSSSSOOOOOOO
	
到淡水後	OOOO
先走路去淡江高中學校	OOOOOOOORR
這裡是台灣的電影「不能說的秘密」拍的地方	OOOOOOOOOOOOOOOOOOOO
再加上周杰倫實際上學的學校	OOOMOOOOOOOOO
	
學院很漂亮	OOOOO
所以我想給你看	OOOOOOO
然後去坐公車去漁人碼頭	OOROOOOOOOO
我聽說過這裡的風景不錯	OOOOOOOOOOO
還有在這裡有很漂亮的情人橋	OOOOOOOOOOOOO
	
大概六點左右坐船再到淡水	OOOOOOOOOOOO
一邊逛一逛一邊吃淡水的小吃	OOSSSOOOOOOOO
還有淡水捷運站附近的海邊散散步後	OOMOOOOOOOOOOOOO
坐捷運回家來吧	MOOOOSO
	
從小的時候	ROOOO
我媽媽總是很努力地照顧我及我的三個姊妹	OOOOOOOOOOOOOOOOOOO
為了要幫家庭賺錢給我們小孩子使用	OOOOSSOOOOOOOOOO
媽媽也會去醫院上夜班	OOOOOOOOOO
	
到現在	OOO
我還是不知道她怎麼做的	OOOOOOOOOSO
白天需要照顧四個小孩子	OOOOOOOOOOO
然後晚上也要上班；媽媽真的是超人	OOOOOOOOOOOOOOOO
	
雖然我們不會明白地說	OOOOOOSSOO
「我愛你	OOOO
」	O
可是我們都知道對方的感情	OOOOOOOOOOSS
	
他們那麼辛苦地養我們	OOOOOOOOOO
現在就可以悠閒地享受他們的生活	OOOOOOOOOOOOOOO
	
例如說：做什麼是對的	OOOOOOOOOO
怎麼洗衣服	OOOOO
做飯	OO
